"CASE";"SERIAL";"REF";"QUESTNNR";"MODE";"STARTED";"Q105";"Q106_01";"Q107";"Q107_04";"Q110";"Q110_09";"Q118_01";"Q119_01";"Q201_01";"Q201_02";"Q201_03";"Q201_04";"Q201_05";"Q201_06";"Q201_07";"Q201_08";"Q201_09";"Q201_10";"Q301_01";"Q301_02";"Q301_03";"Q301_04";"Q301_05";"Q301_06";"Q301_07";"Q301_08";"Q301_09";"Q301_10";"Q301_11";"Q301_12";"Q301_13";"Q301_14";"Q301_15";"Q301_16";"Q301_17";"Q301_18";"Q301_19";"Q301_20";"Q301_21";"Q301_22";"Q301_23";"Q301_24";"Q301_25";"Q301_26";"Q301_27";"Q301_28";"Q301_29";"Q301_30";"Q301_31";"Q301_32";"Q301_33";"Q401";"Q401_01";"TIME001";"TIME002";"TIME003";"TIME004";"TIME005";"TIME006";"TIME007";"TIME_SUM";"MAILSENT";"LASTDATA";"FINISHED";"Q_VIEWER";"LASTPAGE";"MAXPAGE";"MISSING";"MISSREL";"TIME_RSI"
2;;;"lostSenses";"interview";2024-06-28 11:31:18;-9;;1;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;84;19;6;;;;;33;;2024-06-28 11:33:07;1;0;3;3;50;45;1,22
3;;;"lostSenses";"interview";2024-06-28 11:31:22;2;26;1;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;57;16;15;;;;;39;;2024-06-28 11:32:50;1;0;3;3;17;10;0,8
4;;;"lostSenses";"interview";2024-06-28 11:31:22;2;;-9;;-9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;91;10;5;;;;;23;;2024-06-28 11:33:08;1;0;3;3;67;62;1,7
5;;;"lostSenses";"interview";2024-06-28 11:33:18;2;26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14;;;;;;;14;;2024-06-28 11:33:32;0;0;1;1;0;0;0,57
14;;;"lostSenses";"interview";2024-06-28 12:10:13;3;43;4;"Italien";9;"etwas anderes";"Hier ist eine Anmerkung.";"123456";1;3;2;5;4;3;3;2;1;5;1;2;3;2;5;4;3;4;2;1;1;2;3;4;3;5;5;4;3;2;1;1;1;2;2;2;3;5;5;4;4;3;5;1;2;5;20;10;5;9;23;12;84;;2024-06-28 12:11:37;1;0;7;7;0;0;2,01
15;;;"lostSenses";"interview";2024-06-28 12:10:16;2;26;1;;8;;;"2";1;2;3;4;5;4;3;2;1;2;1;2;3;4;5;4;3;2;1;2;3;4;5;4;3;2;1;2;3;4;5;4;3;2;1;2;3;4;5;4;3;2;1;1;2;2;10;4;3;8;21;2;50;;2024-06-28 12:11:06;1;0;7;7;2;1;2,67
18;;;"lostSenses";"interview";2024-06-29 20:33:13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;9;;;;;;;9;;2024-06-29 20:33:22;0;0;1;1;0;0;0,89
19;;;"lostSenses";"interview";2024-06-29 20:34:39;2;27;;;-9;;;"AlDeKeLeWi24";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;3;9;4;;;;;16;;2024-06-29 20:34:55;0;0;2;3;20;19;2,63
22;;;"lostSenses";"interview";2024-06-30 18:13:16;1;23;1;;7;;;"21629";2;1;3;1;5;2;4;1;4;1;4;3;5;4;5;3;2;1;4;2;2;1;3;3;4;1;4;3;4;5;4;1;1;1;5;4;4;4;4;1;2;1;3;1;2;4;19;33;8;96;106;37;303;;2024-06-30 18:18:19;1;0;7;7;2;1;1,31
24;;;"lostSenses";"interview";2024-06-30 20:51:35;1;23;1;;8;;;"94273";4;1;3;2;4;2;3;2;5;1;4;3;4;5;5;3;2;3;1;4;2;3;2;3;3;1;3;3;4;5;4;1;1;1;4;3;4;4;1;2;2;1;1;1;2;8;32;29;3;106;156;93;427;;2024-06-30 20:58:42;1;0;7;7;2;1;0,97
26;;;"lostSenses";"interview";2024-06-30 22:59:51;1;28;1;;4;;"Ein lvl war für lichtempfindliche leute zu hell.
Bei den Zahlen rätsel. Kann man die zahl schwer erkennen, wen man das zuerst macht. ";"18699";4;3;2;3;4;4;2;1;5;4;4;3;2;5;5;5;2;2;2;4;3;4;4;4;3;2;3;4;4;5;3;2;2;2;4;4;4;5;2;4;2;2;4;1;2;8;27;8;2;65;94;118;322;;2024-06-30 23:05:13;1;0;7;7;0;0;1,46
28;;;"lostSenses";"interview";2024-06-30 23:10:24;2;28;1;;4;;"Konnte das spiel nicht beenden denke aber das das an meinem system liegt eig war es unterhaltsam.";"53475";3;2;3;5;4;2;4;1;5;2;4;4;2;4;3;3;3;2;3;4;2;4;2;4;3;2;3;5;4;4;3;2;3;2;4;4;3;3;2;3;2;1;2;1;2;11;30;8;3;121;208;82;463;;2024-06-30 23:18:07;1;0;7;7;0;0;1,1
30;;;"lostSenses";"interview";2024-07-02 18:18:48;2;26;1;;7;;"Fragen wirken sehr allgemein und man muss intepretieren auf welchen Aspekt des Spielens sich die Frage bezieht. Plus eine doppelte Frage. ";"61462";1;2;3;4;2;3;3;2;5;1;2;1;4;4;4;2;1;2;4;3;3;2;2;4;2;2;2;3;5;4;4;3;2;2;1;3;3;4;2;2;1;1;1;1;2;4;54;38;5;135;192;128;556;;2024-07-02 18:28:04;1;0;7;7;0;0;0,87
33;;;"lostSenses";"interview";2024-07-03 21:48:48;2;29;1;;8;;"Ja die Fragen waren mir manchmal nicht ganz klar, aber JEMAND hat mir dabei ausgeholfen.";"38174";2;1;3;4;4;3;4;2;3;2;4;2;3;4;4;4;3;1;2;3;4;4;4;4;2;1;2;2;5;5;3;2;3;1;4;5;3;4;3;4;3;2;3;1;2;6;24;19;15;893;455;97;722;;2024-07-03 22:13:57;1;0;7;7;0;0;0,67
34;;;"lostSenses";"interview";2024-07-04 13:21:01;2;20;1;;4;;"Attaksie im Rechten Arm, ";"81228";3;2;1;4;3;1;5;4;1;3;3;2;4;3;3;3;3;3;5;4;5;1;3;3;3;1;1;1;4;2;1;3;3;3;3;5;2;4;3;3;1;1;5;1;2;3420;43;26;11;238;392;92;810;;2024-07-04 14:31:23;1;0;7;7;0;0;0,48
36;;;"lostSenses";"interview";2024-07-04 18:05:34;2;25;1;;7;;"Doppelte Fragen, teilweise nicht präzise genug formiliert (manchmal war nicht ganz klar wonach im Bezug auf das Spiel gefragt wird (z.B. inkonsistenz - technisch, audio visuell, video visuell etc.)";"'01559";1;1;5;5;1;3;1;5;5;1;1;1;4;2;5;5;1;3;1;3;1;2;3;3;3;1;3;3;5;3;1;1;1;1;1;1;1;5;1;1;1;1;1;1;2;5;12;30;7;169;247;154;624;;2024-07-04 18:15:58;1;0;7;7;0;0;0,91
38;;;"lostSenses";"interview";2024-07-04 22:53:51;2;23;1;;8;;;"'05531";1;2;3;3;3;2;4;1;4;1;4;3;4;4;4;3;1;2;3;3;3;4;2;4;2;1;3;2;3;4;3;2;3;1;1;3;2;2;2;2;1;3;2;1;2;24;35;38;21;457;408;135;767;;2024-07-04 23:12:29;1;0;7;7;2;1;0,4
40;;;"lostSenses";"interview";2024-07-12 17:52:05;2;25;1;;6;;"FOV stellt sich nicht richtig um.";"86372";2;2;5;2;5;1;4;3;5;1;4;5;2;4;5;5;1;1;3;4;3;2;2;5;5;1;5;4;5;5;2;1;1;2;1;4;2;4;3;1;1;1;2;1;2;4;16;37;3;78;132;46;316;;2024-07-12 17:57:21;1;0;7;7;0;0;1,41
42;;;"lostSenses";"interview";2024-07-12 18:35:24;2;26;1;;7;;;"96748";3;1;4;1;4;1;5;2;3;1;2;1;4;4;4;4;1;2;2;1;2;2;2;3;2;2;2;2;4;4;3;1;1;1;1;2;2;2;2;2;2;1;1;1;2;4;34;8;14;48;110;2;220;;2024-07-12 18:39:04;1;0;7;7;2;1;1,64
