,CASE,Q105,Q106_01,Q107,Q107_04,Q110,Q110_09,Q118_01,Q119_01,Q201_01,Q201_02,Q201_03,Q201_04,Q201_05,Q201_06,Q201_07,Q201_08,Q201_09,Q201_10,Q301_01,Q301_02,Q301_03,Q301_04,Q301_05,Q301_06,Q301_07,Q301_08,Q301_09,Q301_10,Q301_11,Q301_12,Q301_13,Q301_14,Q301_15,Q301_16,Q301_17,Q301_18,Q301_19,Q301_20,Q301_21,Q301_22,Q301_23,Q301_24,Q301_25,Q301_26,Q301_27,Q301_28,Q301_29,Q301_30,Q301_31,Q301_32,Q301_33
0,22,1,23,1,,7,,,21629,2,1,3,1,5,2,4,1,4,1,4,3,5,4,5,3,2,1,4,2,2,1,3,3,4,1,4,3,4,5,4,1,1,1,5,4,4,4,4,1,2,1,3
1,24,1,23,1,,8,,,94273,4,1,3,2,4,2,3,2,5,1,4,3,4,5,5,3,2,3,1,4,2,3,2,3,3,1,3,3,4,5,4,1,1,1,4,3,4,4,1,2,2,1,1
2,26,1,28,1,,4,,"Ein lvl war für lichtempfindliche leute zu hell.
Bei den Zahlen rätsel. Kann man die zahl schwer erkennen, wen man das zuerst macht. ",18699,4,3,2,3,4,4,2,1,5,4,4,3,2,5,5,5,2,2,2,4,3,4,4,4,3,2,3,4,4,5,3,2,2,2,4,4,4,5,2,4,2,2,4
3,28,2,28,1,,4,,Konnte das spiel nicht beenden denke aber das das an meinem system liegt eig war es unterhaltsam.,53475,3,2,3,5,4,2,4,1,5,2,4,4,2,4,3,3,3,2,3,4,2,4,2,4,3,2,3,5,4,4,3,2,3,2,4,4,3,3,2,3,2,1,2
4,30,2,26,1,,7,,Fragen wirken sehr allgemein und man muss intepretieren auf welchen Aspekt des Spielens sich die Frage bezieht. Plus eine doppelte Frage. ,61462,1,2,3,4,2,3,3,2,5,1,2,1,4,4,4,2,1,2,4,3,3,2,2,4,2,2,2,3,5,4,4,3,2,2,1,3,3,4,2,2,1,1,1
5,33,2,29,1,,8,,"Ja die Fragen waren mir manchmal nicht ganz klar, aber JEMAND hat mir dabei ausgeholfen.",38174,2,1,3,4,4,3,4,2,3,2,4,2,3,4,4,4,3,1,2,3,4,4,4,4,2,1,2,2,5,5,3,2,3,1,4,5,3,4,3,4,3,2,3
6,34,2,20,1,,4,,"Attaksie im Rechten Arm, ",81228,3,2,1,4,3,1,5,4,1,3,3,2,4,3,3,3,3,3,5,4,5,1,3,3,3,1,1,1,4,2,1,3,3,3,3,5,2,4,3,3,1,1,5
7,36,2,25,1,,7,,"Doppelte Fragen, teilweise nicht präzise genug formiliert (manchmal war nicht ganz klar wonach im Bezug auf das Spiel gefragt wird (z.B. inkonsistenz - technisch, audio visuell, video visuell etc.)",'01559,1,1,5,5,1,3,1,5,5,1,1,1,4,2,5,5,1,3,1,3,1,2,3,3,3,1,3,3,5,3,1,1,1,1,1,1,1,5,1,1,1,1,1
8,38,2,23,1,,8,,,'05531,1,2,3,3,3,2,4,1,4,1,4,3,4,4,4,3,1,2,3,3,3,4,2,4,2,1,3,2,3,4,3,2,3,1,1,3,2,2,2,2,1,3,2
9,40,2,25,1,,6,,FOV stellt sich nicht richtig um.,86372,2,2,5,2,5,1,4,3,5,1,4,5,2,4,5,5,1,1,3,4,3,2,2,5,5,1,5,4,5,5,2,1,1,2,1,4,2,4,3,1,1,1,2
10,42,2,26,1,,7,,,96748,3,1,4,1,4,1,5,2,3,1,2,1,4,4,4,4,1,2,2,1,2,2,2,3,2,2,2,2,4,4,3,1,1,1,1,2,2,2,2,2,2,1,1
